N,itm,Date,u,v
1,1,2024-08-31 14:30:00,-0.19,0.15
2,2,2024-08-31 15:30:00,-0.2,0.15
3,3,2024-08-31 16:30:00,-0.22,0.15
4,4,2024-08-31 17:30:00,-0.21,0.13
5,5,2024-08-31 18:30:00,-0.2,0.13
6,6,2024-08-31 19:30:00,-0.17,0.09
7,7,2024-08-31 20:30:00,-0.14,0.05
8,8,2024-08-31 21:30:00,-0.09,-0.01
9,9,2024-08-31 22:30:00,-0.04,-0.05
10,10,2024-08-31 23:30:00,0.02,-0.1
11,11,2024-09-01 00:30:00,0.09,-0.12
12,12,2024-09-01 01:30:00,0.17,-0.13
13,13,2024-09-01 02:30:00,0.22,-0.14
14,14,2024-09-01 03:30:00,0.24,-0.12
15,15,2024-09-01 04:30:00,0.24,0.01
16,16,2024-09-01 05:30:00,0.19,0.13
17,17,2024-09-01 06:30:00,0.11,0.18
18,18,2024-09-01 07:30:00,0.05,0.17
19,19,2024-09-01 08:30:00,-0.02,0.17
20,20,2024-09-01 09:30:00,-0.06,0.14
21,21,2024-09-01 10:30:00,-0.08,0.14
22,22,2024-09-01 11:30:00,-0.08,0.12
23,23,2024-09-01 12:30:00,-0.09,0.13
24,24,2024-09-01 13:30:00,-0.09,0.12
25,25,2024-09-01 14:30:00,-0.11,0.13
26,26,2024-09-01 15:30:00,-0.14,0.13
27,27,2024-09-01 16:30:00,-0.17,0.14
28,28,2024-09-01 17:30:00,-0.21,0.16
29,29,2024-09-01 18:30:00,-0.26,0.26
30,30,2024-09-01 19:30:00,-0.25,0.28
31,31,2024-09-01 20:30:00,-0.22,0.24
32,32,2024-09-01 21:30:00,-0.17,0.18
33,33,2024-09-01 22:30:00,-0.11,0.08
34,34,2024-09-01 23:30:00,-0.05,-0.02
35,35,2024-09-02 00:30:00,0.02,-0.1
36,36,2024-09-02 01:30:00,0.07,-0.13
37,37,2024-09-02 02:30:00,0.1,-0.13
38,38,2024-09-02 03:30:00,0.13,-0.13
39,39,2024-09-02 04:30:00,0.13,-0.1
40,40,2024-09-02 05:30:00,0.09,-0.04
41,41,2024-09-02 06:30:00,0.07,0.07
42,42,2024-09-02 07:30:00,0.08,0.17
43,43,2024-09-02 08:30:00,0.05,0.25
44,44,2024-09-02 09:30:00,0.05,0.24
45,45,2024-09-02 10:30:00,0.04,0.25
46,46,2024-09-02 11:30:00,0.04,0.23
47,47,2024-09-02 12:30:00,0.03,0.2
48,48,2024-09-02 13:30:00,0.02,0.15
49,49,2024-09-02 14:30:00,-0.01,0.11
50,50,2024-09-02 15:30:00,-0.04,0.08
51,51,2024-09-02 16:30:00,-0.08,0.11
52,52,2024-09-02 17:30:00,-0.11,0.14
53,53,2024-09-02 18:30:00,-0.15,0.17
54,54,2024-09-02 19:30:00,-0.15,0.16
55,55,2024-09-02 20:30:00,-0.15,0.15
56,56,2024-09-02 21:30:00,-0.11,0.1
57,57,2024-09-02 22:30:00,-0.08,0.04
58,58,2024-09-02 23:30:00,-0.01,-0.06
59,59,2024-09-03 00:30:00,0.03,-0.14
60,60,2024-09-03 01:30:00,0.07,-0.19
61,61,2024-09-03 02:30:00,0.06,-0.13
62,62,2024-09-03 03:30:00,0.07,-0.08
63,63,2024-09-03 04:30:00,0.13,-0.04
64,64,2024-09-03 05:30:00,0.16,-0.02
65,65,2024-09-03 06:30:00,0.14,-0.01
66,66,2024-09-03 07:30:00,0.11,-0.02
67,67,2024-09-03 08:30:00,0.04,0.06
68,68,2024-09-03 09:30:00,0.01,0.06
69,69,2024-09-03 10:30:00,-0.05,0.09
70,70,2024-09-03 11:30:00,-0.07,0.06
71,71,2024-09-03 12:30:00,-0.08,0.08
72,72,2024-09-03 13:30:00,-0.11,0.08
73,73,2024-09-03 14:30:00,-0.11,0.07
74,74,2024-09-03 15:30:00,-0.11,0.06
75,75,2024-09-03 16:30:00,-0.13,0.08
76,76,2024-09-03 17:30:00,-0.12,0.05
77,77,2024-09-03 18:30:00,-0.15,0.05
78,78,2024-09-03 19:30:00,-0.14,0.02
79,79,2024-09-03 20:30:00,-0.15,0.01
80,80,2024-09-03 21:30:00,-0.14,-0.01
81,81,2024-09-03 22:30:00,-0.1,-0.05
82,82,2024-09-03 23:30:00,-0.06,-0.09
83,83,2024-09-04 00:30:00,-0.01,-0.12
84,84,2024-09-04 01:30:00,0.03,-0.14
85,85,2024-09-04 02:30:00,0.06,-0.13
86,86,2024-09-04 03:30:00,0.06,-0.1
87,87,2024-09-04 04:30:00,0.05,-0.06
88,88,2024-09-04 05:30:00,0.06,-0.02
89,89,2024-09-04 06:30:00,0.07,0.01
90,90,2024-09-04 07:30:00,0.05,-0.0
91,91,2024-09-04 08:30:00,0.02,0.01
92,92,2024-09-04 09:30:00,0.03,0.05
93,93,2024-09-04 10:30:00,0.05,0.1
94,94,2024-09-04 11:30:00,0.1,0.1
95,95,2024-09-04 12:30:00,0.13,0.09
96,96,2024-09-04 13:30:00,0.12,0.07
97,97,2024-09-04 14:30:00,0.11,0.07
98,98,2024-09-04 15:30:00,0.08,0.08
99,99,2024-09-04 16:30:00,0.04,0.07
100,100,2024-09-04 17:30:00,0.05,0.04
101,101,2024-09-04 18:30:00,0.03,0.06
102,102,2024-09-04 19:30:00,-0.0,0.05
103,103,2024-09-04 20:30:00,-0.04,0.07
104,104,2024-09-04 21:30:00,-0.05,0.05
105,105,2024-09-04 22:30:00,-0.04,0.03
106,106,2024-09-04 23:30:00,-0.01,-0.0
107,107,2024-09-05 00:30:00,0.03,-0.05
108,108,2024-09-05 01:30:00,0.06,-0.1
109,109,2024-09-05 02:30:00,0.07,-0.12
110,110,2024-09-05 03:30:00,0.07,-0.11
111,111,2024-09-05 04:30:00,0.04,-0.08
112,112,2024-09-05 05:30:00,0.03,-0.08
113,113,2024-09-05 06:30:00,0.02,-0.07
114,114,2024-09-05 07:30:00,-0.02,-0.05
115,115,2024-09-05 08:30:00,-0.04,-0.03
116,116,2024-09-05 09:30:00,-0.05,0.0
117,117,2024-09-05 10:30:00,-0.05,0.05
118,118,2024-09-05 11:30:00,-0.01,0.08
119,119,2024-09-05 12:30:00,0.01,0.13
120,120,2024-09-05 13:30:00,0.06,0.14
121,121,2024-09-05 14:30:00,0.1,0.13
122,122,2024-09-05 15:30:00,0.12,0.13
123,123,2024-09-05 16:30:00,0.14,0.13
124,124,2024-09-05 17:30:00,0.17,0.1
125,125,2024-09-05 18:30:00,0.17,0.07
126,126,2024-09-05 19:30:00,0.16,0.04
127,127,2024-09-05 20:30:00,0.12,0.01
128,128,2024-09-05 21:30:00,0.08,-0.04
129,129,2024-09-05 22:30:00,0.02,-0.05
130,130,2024-09-05 23:30:00,-0.0,-0.08
131,131,2024-09-06 00:30:00,-0.0,-0.08
132,132,2024-09-06 01:30:00,0.01,-0.07
133,133,2024-09-06 02:30:00,0.02,-0.05
134,134,2024-09-06 03:30:00,0.07,-0.04
135,135,2024-09-06 04:30:00,0.09,0.0
136,136,2024-09-06 05:30:00,0.11,0.04
137,137,2024-09-06 06:30:00,0.12,0.09
138,138,2024-09-06 07:30:00,0.11,0.1
139,139,2024-09-06 08:30:00,0.08,0.1
140,140,2024-09-06 09:30:00,0.05,0.06
141,141,2024-09-06 10:30:00,0.01,0.02
142,142,2024-09-06 11:30:00,-0.02,-0.03
143,143,2024-09-06 12:30:00,-0.05,-0.05
144,144,2024-09-06 13:30:00,-0.04,-0.06
145,145,2024-09-06 14:30:00,-0.03,-0.04
146,146,2024-09-06 15:30:00,0.0,-0.05
147,147,2024-09-06 16:30:00,0.04,-0.04
148,148,2024-09-06 17:30:00,0.08,-0.06
149,149,2024-09-06 18:30:00,0.11,-0.07
150,150,2024-09-06 19:30:00,0.1,-0.06
151,151,2024-09-06 20:30:00,0.07,-0.02
152,152,2024-09-06 21:30:00,0.04,0.04
153,153,2024-09-06 22:30:00,0.03,0.1
154,154,2024-09-06 23:30:00,0.04,0.12
155,155,2024-09-07 00:30:00,0.05,0.12
156,156,2024-09-07 01:30:00,0.06,0.09
157,157,2024-09-07 02:30:00,0.04,0.07
158,158,2024-09-07 03:30:00,0.01,0.05
159,159,2024-09-07 04:30:00,-0.02,0.06
160,160,2024-09-07 05:30:00,-0.06,0.08
161,161,2024-09-07 06:30:00,-0.09,0.09
162,162,2024-09-07 07:30:00,-0.1,0.08
163,163,2024-09-07 08:30:00,-0.12,0.09
164,164,2024-09-07 09:30:00,-0.13,0.07
165,165,2024-09-07 10:30:00,-0.14,0.07
166,166,2024-09-07 11:30:00,-0.13,0.03
167,167,2024-09-07 12:30:00,-0.11,0.01
168,168,2024-09-07 13:30:00,-0.09,-0.02
169,169,2024-09-07 14:30:00,-0.07,-0.04
170,170,2024-09-07 15:30:00,-0.03,-0.06
171,171,2024-09-07 16:30:00,0.0,-0.07
172,172,2024-09-07 17:30:00,0.05,-0.08
173,173,2024-09-07 18:30:00,0.07,-0.09
174,174,2024-09-07 19:30:00,0.09,-0.11
175,175,2024-09-07 20:30:00,0.07,-0.07
176,176,2024-09-07 21:30:00,0.05,-0.03
177,177,2024-09-07 22:30:00,0.04,0.04
178,178,2024-09-07 23:30:00,0.03,0.09
179,179,2024-09-08 00:30:00,0.03,0.13
180,180,2024-09-08 01:30:00,0.05,0.14
181,181,2024-09-08 02:30:00,0.05,0.16
182,182,2024-09-08 03:30:00,0.06,0.15
183,183,2024-09-08 04:30:00,0.07,0.15
184,184,2024-09-08 05:30:00,0.06,0.15
185,185,2024-09-08 06:30:00,0.04,0.15
186,186,2024-09-08 07:30:00,0.02,0.16
187,187,2024-09-08 08:30:00,-0.03,0.16
188,188,2024-09-08 09:30:00,-0.06,0.14
189,189,2024-09-08 10:30:00,-0.1,0.12
190,190,2024-09-08 11:30:00,-0.11,0.08
191,191,2024-09-08 12:30:00,-0.11,0.06
192,192,2024-09-08 13:30:00,-0.08,0.03
193,193,2024-09-08 14:30:00,-0.02,-0.01
194,194,2024-09-08 15:30:00,0.04,-0.08
195,195,2024-09-08 16:30:00,0.08,-0.13
196,196,2024-09-08 17:30:00,0.11,-0.14
197,197,2024-09-08 18:30:00,0.14,-0.11
